Year,avg_grade_summer,std_dev_summer,avg_grade_winter,std_dev_winter
2010,1.6854740919225724,0.38587111620457104,1.6678447682921524,0.3883544630692379
2011,1.7051203303473148,0.3900784857130558,1.6711384162827243,0.3882949486059725
2012,1.6746133283220346,0.4401137702100371,1.6645062520572167,0.39216179366491605
2013,1.6923166968979713,0.40553536026100573,1.648228537860435,0.3918297558953198
2014,1.7040078951971722,0.41726018430187006,1.6668879438600994,0.41127953265762207
2015,1.689797559357715,0.4154409867219782,1.6291368454497026,0.38351929954299363
2016,1.6583907298836762,0.3956307073616258,1.6418881074979348,0.40429954830433656
2017,1.6497092549712382,0.4064124234571775,1.6087783655310373,0.3847048414560377
2018,1.6218638533506304,0.38873115908664974,1.6036451633331321,0.38543919604658095
2019,1.6518274387553196,0.4017863433636625,1.5972684130790373,0.38581336570531866
2020,1.4971348232684294,0.33473407175501535,1.5084339475883912,0.33300105057668516
2021,1.5693113362928266,0.37624105288496484,1.5423802221134446,0.38202605351864916
2022,1.562989599613375,0.38486640750711915,1.4955609955860734,0.3609942453895988
2023,1.489133343913392,0.3434772778848304,1.4532592903619013,0.3339312346237291
2024,,,1.4680703031708453,0.3971984991504996
